Country_Code,Country,WEO Subject Code,Subject Descriptor,Units,Year,Value,Country_Name,Region,Income_Group
BFA,Burkina Faso,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,249.18,Burkina Faso,Sub-Saharan Africa,Low income
BDI,Burundi,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,130.225,Burundi,Sub-Saharan Africa,Low income
CPV,Cabo Verde,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1399.088,Cabo Verde,Sub-Saharan Africa,Lower middle income
KHM,Cambodia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,313.224,Cambodia,East Asia & Pacific,Lower middle income
CMR,Cameroon,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,660.382,Cameroon,Sub-Saharan Africa,Lower middle income
CAN,Canada,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,24296.721,Canada,North America,High income
CAF,Central African Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,238.505,Central African Republic,Sub-Saharan Africa,Low income
TCD,Chad,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,256.354,Chad,Sub-Saharan Africa,Low income
CHL,Chile,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,5099.922,Chile,Latin America & Caribbean,High income
CHN,China,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,951.163,China,East Asia & Pacific,Upper middle income
COL,Colombia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2535.477,Colombia,Latin America & Caribbean,Upper middle income
COM,Comoros,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,628.071,Comoros,Sub-Saharan Africa,Lower middle income
COD,Democratic Republic of the Congo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,397.025,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income
COG,Republic of Congo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1156.361,"Congo, Rep.",Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3941.14,Costa Rica,Latin America & Caribbean,Upper middle income
CIV,Côte d'Ivoire,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,913.448,Côte d’Ivoire,Sub-Saharan Africa,Lower middle income
HRV,Croatia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,5053.112,Croatia,Europe & Central Asia,High income
CYP,Cyprus,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,14464.952,Cyprus,Europe & Central Asia,High income
CZE,Czech Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,6015.067,Czechia,Europe & Central Asia,High income
DNK,Denmark,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,30798.717,Denmark,Europe & Central Asia,High income
DJI,Djibouti,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1088.219,Djibouti,Middle East & North Africa,Lower middle income
DMA,Dominica,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4681.178,Dominica,Latin America & Caribbean,Upper middle income
DOM,Dominican Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2894.303,Dominican Republic,Latin America & Caribbean,Upper middle income
ECU,Ecuador,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1398.962,Ecuador,Latin America & Caribbean,Upper middle income
EGY,Egypt,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1636.752,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income
SLV,El Salvador,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1977.835,El Salvador,Latin America & Caribbean,Upper middle income
GNQ,Equatorial Guinea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1885.985,Equatorial Guinea,Sub-Saharan Africa,Upper middle income
ERI,Eritrea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,238.508,Eritrea,Sub-Saharan Africa,Low income
EST,Estonia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4084.938,Estonia,Europe & Central Asia,High income
SWZ,Eswatini,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1818.67,Eswatini,Sub-Saharan Africa,Lower middle income
ETH,Ethiopia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,136.056,Ethiopia,Sub-Saharan Africa,Low income
FJI,Fiji,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2274.643,Fiji,East Asia & Pacific,Upper middle income
FIN,Finland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,24379.783,Finland,Europe & Central Asia,High income
FRA,France,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,23212.45,France,Europe & Central Asia,High income
GAB,Gabon,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4477.321,Gabon,Sub-Saharan Africa,Upper middle income
GMB,The Gambia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,766.199,"Gambia, The",Sub-Saharan Africa,Low income
GEO,Georgia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,763.707,Georgia,Europe & Central Asia,Upper middle income
DEU,Germany,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,23924.876,Germany,Europe & Central Asia,High income
GHA,Ghana,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,606.501,Ghana,Sub-Saharan Africa,Lower middle income
GRC,Greece,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,12268.279,Greece,Europe & Central Asia,High income
GRD,Grenada,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,5056.978,Grenada,Latin America & Caribbean,Upper middle income
GTM,Guatemala,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1555.567,Guatemala,Latin America & Caribbean,Upper middle income
GIN,Guinea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,461.784,Guinea,Sub-Saharan Africa,Lower middle income
GNB,Guinea-Bissau,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,327.943,Guinea-Bissau,Sub-Saharan Africa,Low income
GUY,Guyana,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2017.2,Guyana,Latin America & Caribbean,High income
HTI,Haiti,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,794.059,Haiti,Latin America & Caribbean,Lower middle income
HND,Honduras,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1080.511,Honduras,Latin America & Caribbean,Lower middle income
HKG,Hong Kong SAR,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,25574.491,"Hong Kong SAR, China",East Asia & Pacific,High income
HUN,Hungary,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4619.293,Hungary,Europe & Central Asia,High income
ISL,Iceland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,32344.364,Iceland,Europe & Central Asia,High income
IND,India,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,442.036,India,South Asia,Lower middle income
IDN,Indonesia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,870.154,Indonesia,East Asia & Pacific,Upper middle income
IRN,Islamic Republic of Iran,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,5776.857,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income
IRL,Ireland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,26184.759,Ireland,Europe & Central Asia,High income
ISR,Israel,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,21672.162,Israel,Middle East & North Africa,High income
ITA,Italy,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,20153.083,Italy,Europe & Central Asia,High income
JAM,Jamaica,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3510.575,Jamaica,Latin America & Caribbean,Upper middle income
JPN,Japan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,39172.971,Japan,East Asia & Pacific,High income
JOR,Jordan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1725.576,Jordan,Middle East & North Africa,Lower middle income
KAZ,Kazakhstan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1229.0,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,Kenya,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,617.147,Kenya,Sub-Saharan Africa,Lower middle income
KIR,Kiribati,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,890.425,Kiribati,East Asia & Pacific,Lower middle income
KOR,Korea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,12263.471,"Korea, Rep.",East Asia & Pacific,High income
UVK,Kosovo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1506.094,,,
KWT,Kuwait,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,17009.468,Kuwait,Middle East & North Africa,High income
KGZ,Kyrgyz Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,280.635,Kyrgyz Republic,Europe & Central Asia,Lower middle income
LAO,Lao P.D.R.,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,316.667,Lao PDR,East Asia & Pacific,Lower middle income
LVA,Latvia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3343.184,Latvia,Europe & Central Asia,High income
LBN,Lebanon,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4428.662,Lebanon,Middle East & North Africa,Lower middle income
LSO,Lesotho,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,493.333,Lesotho,Sub-Saharan Africa,Lower middle income
LBR,Liberia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,303.143,Liberia,Sub-Saharan Africa,Low income
LBY,Libya,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,7625.01,Libya,Middle East & North Africa,Upper middle income
LTU,Lithuania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3293.307,Lithuania,Europe & Central Asia,High income
LUX,Luxembourg,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,48984.173,Luxembourg,Europe & Central Asia,High income
MDG,Madagascar,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,307.335,Madagascar,Sub-Saharan Africa,Low income
MWI,Malawi,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,352.65,Malawi,Sub-Saharan Africa,Low income
MYS,Malaysia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4347.73,Malaysia,East Asia & Pacific,Upper middle income
MDV,Maldives,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2967.253,Maldives,South Asia,Upper middle income
MLI,Mali,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,263.615,Mali,Sub-Saharan Africa,Low income
MLT,Malta,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,10482.0,Malta,Middle East & North Africa,High income
MHL,Marshall Islands,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2242.869,Marshall Islands,East Asia & Pacific,Upper middle income
MRT,Mauritania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,673.361,Mauritania,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4157.831,Mauritius,Sub-Saharan Africa,Upper middle income
MEX,Mexico,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,7467.739,Mexico,Latin America & Caribbean,Upper middle income
FSM,Micronesia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2145.791,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income
MDA,Moldova,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,448.062,Moldova,Europe & Central Asia,Upper middle income
MNG,Mongolia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,473.198,Mongolia,East Asia & Pacific,Upper middle income
MNE,Montenegro,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1596.76,Montenegro,Europe & Central Asia,Upper middle income
MAR,Morocco,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1486.875,Morocco,Middle East & North Africa,Lower middle income
MOZ,Mozambique,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,334.841,Mozambique,Sub-Saharan Africa,Low income
MMR,Myanmar,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,159.287,Myanmar,East Asia & Pacific,Lower middle income
NAM,Namibia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2156.03,Namibia,Sub-Saharan Africa,Upper middle income
NPL,Nepal,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,266.158,Nepal,South Asia,Lower middle income
NLD,Netherlands,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,26327.867,Netherlands,Europe & Central Asia,High income
NZL,New Zealand,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,14021.862,New Zealand,East Asia & Pacific,High income
NIC,Nicaragua,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1030.74,Nicaragua,Latin America & Caribbean,Lower middle income
NER,Niger,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,197.275,Niger,Sub-Saharan Africa,Low income
NGA,Nigeria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,554.64,Nigeria,Sub-Saharan Africa,Lower middle income
MKD,North Macedonia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1878.237,North Macedonia,Europe & Central Asia,Upper middle income
NOR,Norway,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,38094.597,Norway,Europe & Central Asia,High income
OMN,Oman,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,9266.358,Oman,Middle East & North Africa,High income
PAK,Pakistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,733.461,Pakistan,South Asia,Lower middle income
PLW,Palau,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,7900.288,Palau,East Asia & Pacific,High income
PAN,Panama,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4261.463,Panama,Latin America & Caribbean,High income
PNG,Papua New Guinea,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1007.517,Papua New Guinea,East Asia & Pacific,Lower middle income
PRY,Paraguay,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1675.793,Paraguay,Latin America & Caribbean,Upper middle income
PER,Peru,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1910.357,Peru,Latin America & Caribbean,Upper middle income
PHL,Philippines,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1087.287,Philippines,East Asia & Pacific,Lower middle income
POL,Poland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4485.064,Poland,Europe & Central Asia,High income
PRT,Portugal,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,11531.467,Portugal,Europe & Central Asia,High income
PRI,Puerto Rico,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,16192.127,Puerto Rico,Latin America & Caribbean,High income
QAT,Qatar,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,30461.311,Qatar,Middle East & North Africa,High income
ROU,Romania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1667.613,Romania,Europe & Central Asia,High income
RUS,Russia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1898.155,Russian Federation,Europe & Central Asia,High income
RWA,Rwanda,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,266.055,Rwanda,Sub-Saharan Africa,Low income
WSM,Samoa,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1552.03,Samoa,East Asia & Pacific,Lower middle income
STP,São Tomé and Príncipe,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,550.516,São Tomé and Príncipe,Sub-Saharan Africa,Lower middle income
SAU,Saudi Arabia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,10448.532,Saudi Arabia,Middle East & North Africa,High income
SEN,Senegal,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,614.004,Senegal,Sub-Saharan Africa,Lower middle income
SRB,Serbia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1302.459,Serbia,Europe & Central Asia,Upper middle income
SYC,Seychelles,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,7578.829,Seychelles,Sub-Saharan Africa,High income
SLE,Sierra Leone,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,205.251,Sierra Leone,Sub-Saharan Africa,Low income
SGP,Singapore,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,23852.834,Singapore,East Asia & Pacific,High income
SVK,Slovak Republic,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3839.791,Slovak Republic,Europe & Central Asia,High income
SVN,Slovenia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,10259.439,Slovenia,Europe & Central Asia,High income
SLB,Solomon Islands,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1017.394,Solomon Islands,East Asia & Pacific,Lower middle income
ZAF,South Africa,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3382.066,South Africa,Sub-Saharan Africa,Upper middle income
ESP,Spain,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,14761.108,Spain,Europe & Central Asia,High income
LKA,Sri Lanka,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1065.469,Sri Lanka,South Asia,Lower middle income
KNA,St. Kitts and Nevis,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,9261.826,St. Kitts and Nevis,Latin America & Caribbean,High income
LCA,St. Lucia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,5843.353,St. Lucia,Latin America & Caribbean,Upper middle income
VCT,St. Vincent and the Grenadines,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,3973.449,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
SDN,Sudan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,422.316,Sudan,Sub-Saharan Africa,Low income
SUR,Suriname,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2902.478,Suriname,Latin America & Caribbean,Upper middle income
SWE,Sweden,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,29589.141,Sweden,Europe & Central Asia,High income
CHE,Switzerland,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,38978.168,Switzerland,Europe & Central Asia,High income
SYR,Syria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1202.891,Syrian Arab Republic,Middle East & North Africa,Low income
TWN,Taiwan Province of China,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,14844.238,"Taiwan, China",East Asia & Pacific,High income
TJK,Tajikistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,159.417,Tajikistan,Europe & Central Asia,Lower middle income
TZA,Tanzania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,380.08,Tanzania,Sub-Saharan Africa,Lower middle income
THA,Thailand,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2007.735,Thailand,East Asia & Pacific,Upper middle income
TLS,Timor-Leste,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,420.946,Timor-Leste,East Asia & Pacific,Lower middle income
TGO,Togo,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,402.18,Togo,Sub-Saharan Africa,Low income
TON,Tonga,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2045.81,Tonga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,6545.953,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,Tunisia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,2322.277,Tunisia,Middle East & North Africa,Lower middle income
TUR,Türkiye,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4237.961,Türkiye,Europe & Central Asia,Upper middle income
TKM,Turkmenistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1833.159,Turkmenistan,Europe & Central Asia,Upper middle income
UGA,Uganda,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,355.466,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,664.376,Ukraine,Europe & Central Asia,Upper middle income
ARE,United Arab Emirates,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,34386.178,United Arab Emirates,Middle East & North Africa,High income
GBR,United Kingdom,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,28337.638,United Kingdom,Europe & Central Asia,High income
USA,United States,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,36312.782,United States,North America,High income
URY,Uruguay,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,7432.339,Uruguay,Latin America & Caribbean,High income
UZB,Uzbekistan,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,702.209,Uzbekistan,Europe & Central Asia,Lower middle income
VUT,Vanuatu,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1422.228,Vanuatu,East Asia & Pacific,Lower middle income
VEN,Venezuela,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,4820.646,"Venezuela, RB",Latin America & Caribbean,
VNM,Vietnam,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,498.579,Vietnam,East Asia & Pacific,Lower middle income
WBG,West Bank and Gaza,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,1412.75,,,
YEM,Yemen,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,526.881,"Yemen, Rep.",Middle East & North Africa,Low income
ZMB,Zambia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,364.026,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2000,969.824,Zimbabwe,Sub-Saharan Africa,Lower middle income
ALB,Albania,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,1283.573,Albania,Europe & Central Asia,Upper middle income
DZA,Algeria,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,1919.41,Algeria,Middle East & North Africa,Upper middle income
AGO,Angola,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,645.145,Angola,Sub-Saharan Africa,Lower middle income
ATG,Antigua and Barbuda,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,10411.422,Antigua and Barbuda,Latin America & Caribbean,High income
ARG,Argentina,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,8085.356,Argentina,Latin America & Caribbean,Upper middle income
ARM,Armenia,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,692.287,Armenia,Europe & Central Asia,Upper middle income
ABW,Aruba,NGDPDPC,"Gross domestic product per capita, current prices",U.S. dollars,2001,20740.206,Aruba,Latin America & Caribbean,High income
